ts,run_id,prompt_id,run_mode,scenario,event,event_group,level,node,span_type,step_id,step_index,tool_name,attempt,status,overall_status,termination_reason,latency_ms,tokens_in,tokens_out,cost_usd,context_hits,tool_results_count,failure_count_run_so_far,error_type,error_message,failure_category,failure_severity,recovered,trace_id,span_id,parent_id,hard_gate_constraint_completeness,hard_gate_no_fabricated_real_time_facts,hard_gate_link_validity_format,hard_gate_calendar_export_correctness,hard_gate_safety_clarity_disclaimer,rubric_relevance,rubric_feasibility,rubric_completeness,rubric_specificity,rubric_coherence,span_module,span_message,span_kind,span_step_title,ts_parsed
2026-02-17T20:43:30.075414+00:00,mix-001,,,,node_exit,workflow,INFO,orchestrator,tool_span,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,ok,,,0.09,,,,,,,,,,,,mix-001,node_exit-93980cb6befe,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node exit,normal,Get hotel search links,2026-02-17 20:43:30.075414+00:00
2026-02-17T20:43:30.075568+00:00,mix-001,,,,node_enter,workflow,INFO,executor,tool_span,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,ok,,,,,,,,,,,,,,,mix-001,node_enter-5aa0b1ff451e,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node enter,normal,Get hotel search links,2026-02-17 20:43:30.075568+00:00
2026-02-17T20:43:30.098233+00:00,mix-001,,,,tool_result,tool,INFO,executor,tool_span,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,hotels_search_links,1.0,ok,,,22.17,,,,,,,,,,,,mix-001,tool_result-5bbd77632d5a,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,,,,,,,,ai_travel_agent.agents.nodes.executor,Tool call completed,normal,Get hotel search links,2026-02-17 20:43:30.098233+00:00
2026-02-17T20:43:30.098387+00:00,mix-001,,,,node_exit,workflow,INFO,executor,tool_span,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,ok,,,22.77,,,,,,,,,,,,mix-001,node_exit-a042f59e6ec5,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node exit,normal,Get hotel search links,2026-02-17 20:43:30.098387+00:00
2026-02-17T20:43:30.098661+00:00,mix-001,,,,node_enter,workflow,INFO,evaluate_step,tool_span,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,ok,,,,,,,,,,,,,,,mix-001,node_enter-5c72d195dfea,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node enter,normal,Get hotel search links,2026-02-17 20:43:30.098661+00:00
2026-02-17T20:43:30.098737+00:00,mix-001,,,,eval_step,eval,INFO,evaluate_step,evaluation_span,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,ok,,,,,,,,,,,,,,,mix-001,eval_step-553f4bbb72c5,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,,,,,,,,ai_travel_agent.agents.nodes.evaluator,Step evaluated,normal,Get hotel search links,2026-02-17 20:43:30.098737+00:00
2026-02-17T20:43:30.098782+00:00,mix-001,,,,node_exit,workflow,INFO,evaluate_step,tool_span,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,ok,,,0.05,,,,,,,,,,,,mix-001,node_exit-3f889dab9be1,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node exit,normal,Get hotel search links,2026-02-17 20:43:30.098782+00:00
2026-02-17T20:43:30.098920+00:00,mix-001,,,,node_enter,workflow,INFO,orchestrator,tool_span,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,ok,,,,,,,,,,,,,,,mix-001,node_enter-93cb90d2646f,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node enter,normal,Get hotel search links,2026-02-17 20:43:30.098920+00:00
2026-02-17T20:43:30.098976+00:00,mix-001,,,,step_selected,planning,INFO,orchestrator,workflow_span,fc2a61d1-40e9-4710-88ad-5225d18c4554,,,,ok,,,,,,,,,,,,,,,mix-001,step_selected-b16ecc6d2ae6,fc2a61d1-40e9-4710-88ad-5225d18c4554,,,,,,,,,,,ai_travel_agent.agents.nodes.orchestrator,Step selected: Synthesize itinerary and recommendations,normal,Synthesize itinerary and recommendations,2026-02-17 20:43:30.098976+00:00
2026-02-17T20:43:30.099028+00:00,mix-001,,,,node_exit,workflow,INFO,orchestrator,workflow_span,fc2a61d1-40e9-4710-88ad-5225d18c4554,,,,ok,,,0.06,,,,,,,,,,,,mix-001,node_exit-53e16286a86a,fc2a61d1-40e9-4710-88ad-5225d18c4554,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node exit,normal,Synthesize itinerary and recommendations,2026-02-17 20:43:30.099028+00:00
